fecha,hora,evento,duracion
2026-05-27,11:53:35,CRITICO,1.71
2026-05-27,11:53:39,CRITICO,3.22
2026-05-27,11:54:12,CRITICO,1.71
2026-05-27,11:55:03,CRITICO,1.73
2026-05-27,11:55:11,CRITICO,1.72
2026-05-27,11:55:15,CRITICO,6.73
2026-05-27,11:56:42,CRITICO,1.73
2026-05-27,11:57:25,CRITICO,1.73
2026-05-27,11:58:22,CRITICO,1.75
2026-05-27,11:58:39,CRITICO,1.72
2026-05-27,12:00:02,CRITICO,1.73
2026-05-27,20:57:25,CRITICO,5.37
2026-05-27,20:57:49,CRITICO,1.71
2026-05-27,21:03:49,CRITICO,1.73
2026-05-27,21:03:56,CRITICO,1.7
2026-05-27,21:06:12,CRITICO,1.73
2026-05-27,21:07:09,CRITICO,1.72
2026-05-27,21:22:38,CRITICO,1.73
